block_number,block_gas_used,tx_count,block_gas_used_lag_1,tx_count_lag_1
21331168,19264720,188,14915337.0,250.0
21331169,13580721,161,19264720.0,188.0
21331170,14797388,216,13580721.0,161.0
21331171,12612265,196,14797388.0,216.0
21331172,5509326,111,12612265.0,196.0
21331173,19079766,266,5509326.0,111.0
21331174,14546755,192,19079766.0,266.0
21331175,13505886,193,14546755.0,192.0
21331176,15206403,188,13505886.0,193.0
21331177,19554454,213,15206403.0,188.0
21331178,11353849,149,19554454.0,213.0
21331179,14394480,161,11353849.0,149.0
21331180,15789870,178,14394480.0,161.0
21331181,16373820,206,15789870.0,178.0
21331182,12109072,171,16373820.0,206.0
21331183,15916761,203,12109072.0,171.0
21331184,15694541,225,15916761.0,203.0
21331185,9792431,122,15694541.0,225.0
21331186,21521494,287,9792431.0,122.0
21331187,12639815,171,21521494.0,287.0
21331188,11418277,175,12639815.0,171.0
21331189,16095367,208,11418277.0,175.0
21331190,12160752,160,16095367.0,208.0
21331191,16597252,264,12160752.0,160.0
21331192,13117535,183,16597252.0,264.0
21331193,16360861,227,13117535.0,183.0
21331194,10995046,151,16360861.0,227.0
21331195,12261969,194,10995046.0,151.0
21331196,20120418,230,12261969.0,194.0
21331197,11420551,169,20120418.0,230.0
21331198,16885623,221,11420551.0,169.0
21331199,14688086,186,16885623.0,221.0
21331200,6848470,111,14688086.0,186.0
21331201,20761136,243,6848470.0,111.0
21331202,16089217,196,20761136.0,243.0
21331203,11114154,155,16089217.0,196.0
21331204,12416910,186,11114154.0,155.0
21331205,7160262,104,12416910.0,186.0
21331206,29979532,430,7160262.0,104.0
21331207,13505646,176,29979532.0,430.0
21331208,12607528,165,13505646.0,176.0
21331209,15359419,216,12607528.0,165.0
21331210,17511491,194,15359419.0,216.0
21331211,15785569,201,17511491.0,194.0
21331212,12629108,170,15785569.0,201.0
21331213,14768920,215,12629108.0,170.0
21331214,15548417,203,14768920.0,215.0
21331215,13194792,158,15548417.0,203.0
21331216,12971180,185,13194792.0,158.0
21331217,20534426,239,12971180.0,185.0
21331218,11220718,168,20534426.0,239.0
21331219,17646784,229,11220718.0,168.0
21331220,14608299,178,17646784.0,229.0
21331221,15825774,203,14608299.0,178.0
21331222,17292968,178,15825774.0,203.0
21331223,5229259,86,17292968.0,178.0
21331224,12313627,171,5229259.0,86.0
21331225,27852385,261,12313627.0,171.0
21331226,19170962,184,27852385.0,261.0
21331227,13863149,150,19170962.0,184.0
21331228,8972957,138,13863149.0,150.0
21331229,9071531,164,8972957.0,138.0
21331230,12620749,154,9071531.0,164.0
21331231,23961760,255,12620749.0,154.0
21331232,9044563,138,23961760.0,255.0
21331233,25307639,242,9044563.0,138.0
21331234,8919361,147,25307639.0,242.0
21331235,19707459,292,8919361.0,147.0
21331236,7736697,123,19707459.0,292.0
21331237,22627050,269,7736697.0,123.0
21331238,14280827,202,22627050.0,269.0
21331239,17380024,174,14280827.0,202.0
21331240,16688507,196,17380024.0,174.0
21331241,13256066,163,16688507.0,196.0
21331242,12772073,167,13256066.0,163.0
21331243,14850921,192,12772073.0,167.0
21331244,14064032,194,14850921.0,192.0
21331245,16478691,182,14064032.0,194.0
21331246,6888879,121,16478691.0,182.0
21331247,23372422,394,6888879.0,121.0
21331248,15439869,192,23372422.0,394.0
21331249,15498037,204,15439869.0,192.0
21331250,12562173,168,15498037.0,204.0
21331251,23362857,233,12562173.0,168.0
21331252,10381420,149,23362857.0,233.0
21331253,9358919,142,10381420.0,149.0
21331254,17358023,230,9358919.0,142.0
21331255,15401288,227,17358023.0,230.0
21331256,15603069,203,15401288.0,227.0
21331257,10538959,126,15603069.0,203.0
21331258,6990022,135,10538959.0,126.0
21331259,22672326,373,6990022.0,135.0
21331260,23404821,302,22672326.0,373.0
21331261,14388315,201,23404821.0,302.0
21331262,14070192,232,14388315.0,201.0
21331263,13560605,196,14070192.0,232.0
21331264,10651664,164,13560605.0,196.0
21331265,20264052,285,10651664.0,164.0
21331266,20490352,233,20264052.0,285.0
21331267,12049418,161,20490352.0,233.0
21331268,3980643,85,12049418.0,161.0
